geometry,method,mean_CD,CL_rms,St,L2_UMean,mean_cells,cells_pct_fine
circular_Re200,fine,1.3399,0.4846,0.1952,,135840,100
circular_Re200,coarse,1.3287,0.4827,0.1925,0.0243,57798,43
circular_Re200,dl_amr,1.3380,0.4829,0.1900,0.0145,90734,67
circular_Re200,grad_amr,1.3320,0.5294,0.1917,0.0239,84809,62
square_Re150,fine,1.4564,0.2816,0.1512,,135840,100
square_Re150,coarse,1.4548,0.2935,0.1496,0.0232,57798,43
square_Re150,dl_amr,1.4549,0.2941,0.1550,0.0135,84105,62
square_Re150,grad_amr,1.6314,0.7057,0.1791,0.0262,85162,63
diamond_Re150,fine,1.8486,0.6518,0.1889,,135840,100
diamond_Re150,coarse,1.8742,0.6597,0.1896,0.1303,57798,43
diamond_Re150,dl_amr,1.8059,0.6532,0.1900,0.0811,106855,79
diamond_Re150,grad_amr,1.8335,0.6930,0.1904,0.1310,99115,73
