mean_sigma,observed_rmse_norm,mean_abs_delta,count
0.00015640415949746966,0.00035585902514867485,0.002372040646150708,868418
0.00020386958203744143,0.0005499559338204563,0.003586109494790435,868417
0.00025184621335938573,0.0007186139118857682,0.0043668909929692745,868417
0.00031259979004971683,0.000924638647120446,0.004950315225869417,868417
0.0003887706552632153,0.001136218779720366,0.005395908374339342,868417
0.0004884705413132906,0.001484109554439783,0.006460683420300484,868417
0.0006324772839434445,0.001959248911589384,0.008131778798997402,868418
0.0008420462254434824,0.00264187715947628,0.010433713905513287,868417
0.0011268412927165627,0.003721693530678749,0.014286553487181664,868416
0.0014881988754495978,0.006985513959079981,0.02443092316389084,868417
0.0018966568168252707,0.01008889265358448,0.03231557831168175,868418
0.0023474215995520353,0.012924938462674618,0.04425394907593727,868417
0.0028583817183971405,0.014357524923980236,0.054935574531555176,868417
0.003426643554121256,0.015136649832129478,0.06447366625070572,868418
0.004054490011185408,0.017131883651018143,0.07328963279724121,868417
0.004774537868797779,0.01945834420621395,0.0773455798625946,868417
0.005723669193685055,0.024095073342323303,0.08031553030014038,868417
0.007083181757479906,0.027839282527565956,0.08417701721191406,868417
0.009313516318798065,0.030813105404376984,0.09017494320869446,868417
0.016836844384670258,0.05017442628741264,0.10418841987848282,868418
